,Director,No. of critics for reviews,Duration,No. of Facebook likes for Director,No. of Facebook likes for Actor 3,Actor 2,No. of Facebook likes for Actor 1,Gross Revenue,Actor 1,No. of users who voted,Total Facebook likes for cast,Actor 3,No. of users for reviews,Language,Country,Content Rating,Budget,No. of Facebook likes for Actor 2,IMDb Score,Aspect Ratio,No. of Facebook likes for Movie,Release Date,Studio,Title,Average Metacritic Score
98,Lana Wachowski,245.0,129.0,0.0,233.0,Collin Chou,309.0,139259759.0,Essie Davis,364948,1062,Nona Gaye,2121.0,English,Australia,R,150000000.0,269.0,6.7,2.35,0,10/27/2003,Warner Bros. Pictures,The Matrix Revolutions,52.707317073170735
99,Chris Buck,406.0,102.0,69.0,490.0,Maurice LaMarche,1000.0,400736600.0,Josh Gad,421658,2582,Livvy Stubenrauch,904.0,English,USA,PG,150000000.0,523.0,7.6,2.24,58000,11/27/2013,Walt Disney Pictures,Frozen,67.79661016949153
100,Lana Wachowski,275.0,138.0,0.0,30.0,Daniel Bernhardt,234.0,281492479.0,Steve Bastoni,421818,534,Helmut Bakaitis,2789.0,English,USA,R,150000000.0,198.0,7.2,2.35,0,05/07/2003,Warner Bros. Pictures,The Matrix Reloaded,66.775
101,Alan Taylor,486.0,112.0,230.0,12000.0,Natalie Portman,26000.0,206360018.0,Chris Hemsworth,414070,59803,Anthony Hopkins,532.0,English,USA,PG-13,170000000.0,20000.0,7.1,2.35,63000,11/08/2013,Walt Disney Pictures,Thor: The Dark World,58.15909090909091
102,George Miller,739.0,120.0,750.0,943.0,Charlize Theron,27000.0,153629485.0,Tom Hardy,552503,40025,Zoë Kravitz,1588.0,English,Australia,R,150000000.0,9000.0,8.1,2.35,191000,05/15/2015,Warner Bros.,Mad Max: Fury Road,88.49019607843138
103,Ron Howard,298.0,146.0,2000.0,294.0,Ayelet Zurer,15000.0,133375846.0,Tom Hanks,207839,16948,Armin Mueller-Stahl,435.0,English,USA,PG-13,150000000.0,745.0,6.7,2.35,0,05/15/2009,Sony/Columbia Pictures,Angels & Demons,52.13888888888889
104,Kenneth Branagh,516.0,115.0,0.0,12000.0,Natalie Portman,26000.0,181015141.0,Chris Hemsworth,536314,60059,Anthony Hopkins,738.0,English,USA,PG-13,150000000.0,20000.0,7.0,2.35,63000,05/06/2011,Paramount Pictures,Thor,61.35
105,Byron Howard,225.0,96.0,59.0,699.0,Diedrich Bader,17000.0,114053579.0,Chloë Grace Moretz,146766,20007,James Lipton,178.0,English,USA,PG,150000000.0,759.0,6.9,1.85,0,11/21/2008,Walt Disney Pictures,Bolt,69.51724137931035
106,Hoyt Yeatman,145.0,88.0,12.0,182.0,Piper Mackenzie Harris,730.0,119420252.0,Kelli Garner,33042,2217,Niecy Nash,90.0,English,USA,PG,150000000.0,607.0,5.1,2.35,0,07/24/2009,Walt Disney Pictures,G-Force,45.89473684210525
107,Jonathan Liebesman,310.0,99.0,473.0,502.0,Edgar Ramírez,14000.0,83640426.0,Liam Neeson,152826,16184,Lily James,253.0,English,USA,PG-13,150000000.0,897.0,5.8,1.85,19000,03/30/2012,Warner Bros.,Wrath of the Titans,43.59375
108,Tim Burton,526.0,113.0,13000.0,16000.0,Chloë Grace Moretz,40000.0,79711678.0,Johnny Depp,199039,80849,Christopher Lee,479.0,English,USA,PG-13,100000000.0,17000.0,6.2,1.85,82000,05/11/2012,Warner Bros. Pictures,Dark Shadows,58.66666666666666
109,Joe Johnston,357.0,119.0,394.0,162.0,Simon Merrells,12000.0,61937495.0,Anthony Hopkins,89442,13071,Art Malik,432.0,English,USA,R,150000000.0,490.0,5.8,1.85,0,02/12/2010,Universal Pictures,The Wolfman,47.805555555555564
110,Steve Hickner,194.0,91.0,58.0,826.0,Oprah Winfrey,2000.0,126597121.0,Matthew Broderick,105902,6576,Rip Torn,206.0,English,USA,PG,150000000.0,852.0,6.2,1.85,0,11/02/2007,Paramount Pictures,Bee Movie,57.70588235294117
111,Jennifer Yuh Nelson,284.0,90.0,90.0,15.0,Gary Oldman,11000.0,165230261.0,Angelina Jolie Pitt,182718,21015,Mike Bell,209.0,English,USA,PG,150000000.0,10000.0,7.3,2.35,20000,05/26/2011,Paramount Studios/Dreamworks,Kung Fu Panda 2,69.96774193548387
112,M. Night Shyamalan,280.0,103.0,0.0,346.0,Noah Ringer,1000.0,131564731.0,Seychelle Gabriel,118951,2857,Aasif Mandvi,1382.0,English,USA,PG,150000000.0,756.0,4.2,2.35,18000,07/01/2010,Paramount Pictures,The Last Airbender,27.0
113,J.J. Abrams,310.0,124.0,14000.0,979.0,Tom Cruise,22000.0,133382309.0,Philip Seymour Hoffman,256695,34817,Eddie Marsan,871.0,English,USA,PG-13,150000000.0,10000.0,6.9,2.35,0,05/05/2006,Paramount Pictures,Mission: Impossible III,67.4047619047619
114,Roland Emmerich,339.0,131.0,776.0,256.0,Jake Weber,17000.0,73103784.0,Channing Tatum,164238,18204,Matt Craven,434.0,English,USA,PG-13,150000000.0,551.0,6.4,2.35,33000,06/28/2013,Sony Pictures,White House Down,56.41860465116279
115,Simon Wells,132.0,88.0,25.0,433.0,Dan Fogler,921.0,21379315.0,Elisabeth Harnois,17590,2652,Tom Everett Scott,112.0,English,USA,PG,150000000.0,562.0,5.4,2.35,0,03/11/2011,Walt Disney Pictures,Mars Needs Moms,54.68181818181818
116,David Bowers,135.0,85.0,42.0,586.0,Kate Winslet,20000.0,64459316.0,Hugh Jackman,85086,35161,David Suchet,122.0,English,UK,PG,149000000.0,14000.0,6.7,1.85,0,11/03/2006,Paramount,Flushed Away,76.03571428571429
117,Joe Wright,256.0,111.0,456.0,394.0,Cara Delevingne,20000.0,34964818.0,Hugh Jackman,39956,21393,Nonso Anozie,186.0,English,USA,PG,150000000.0,548.0,5.8,2.35,24000,10/09/2015,Warner Bros.,Pan,43.485714285714295
118,Rob Minkoff,196.0,92.0,50.0,517.0,Zach Callison,3000.0,111505642.0,Ty Burrell,47900,5810,Karan Brar,130.0,English,USA,PG,145000000.0,1000.0,6.9,1.85,11000,03/07/2014,20th Century Fox,Mr. Peabody & Sherman,61.941176470588225
119,Wolfgang Petersen,220.0,196.0,249.0,844.0,Orlando Bloom,11000.0,133228348.0,Brad Pitt,381672,17944,Julian Glover,1694.0,English,USA,R,175000000.0,5000.0,7.2,2.35,0,05/14/2004,Warner Bros. Pictures,Troy,60.0232558139535
120,Lee Tamahori,264.0,133.0,93.0,746.0,Colin Salmon,769.0,160201106.0,Toby Stephens,169914,2538,Rick Yune,1185.0,English,UK,PG-13,142000000.0,766.0,6.1,2.35,0,11/22/2002,MGM Pictures,Die Another Day,60.0
121,Paul Feig,464.0,116.0,176.0,322.0,Kate McKinnon,783.0,118099659.0,Ed Begley Jr.,69757,2097,Zach Woods,1211.0,English,USA,PG-13,144000000.0,370.0,5.5,2.35,62000,07/15/2016,Sony Pictures,Ghostbusters,64.56666666666666
122,Michael Bay,167.0,153.0,0.0,537.0,Steve Buscemi,13000.0,201573391.0,Bruce Willis,322395,26029,Will Patton,1171.0,English,USA,PG-13,140000000.0,12000.0,6.6,2.35,11000,07/01/1998,Buena Vista,Armageddon,47.08695652173913
123,Barry Sonnenfeld,208.0,88.0,188.0,826.0,Rosario Dawson,10000.0,190418803.0,Will Smith,270207,14823,Rip Torn,606.0,English,USA,PG-13,140000000.0,3000.0,6.1,1.85,2000,09/06/2002,Columbia Pictures,Men in Black II,52.51351351351353
124,Robert Zemeckis,287.0,115.0,0.0,964.0,Anthony Hopkins,18000.0,82161969.0,Robin Wright,142440,31523,Sebastian Roché,505.0,English,USA,PG-13,150000000.0,12000.0,6.3,2.35,3000,11/15/2007,Paramount Pictures,Beowulf,63.28571428571429
125,Alessandro Carloni,210.0,95.0,5.0,967.0,Angelina Jolie Pitt,24000.0,143523463.0,J.K. Simmons,64322,36095,Wayne Knight,145.0,English,USA,PG,145000000.0,11000.0,7.2,2.35,24000,01/29/2016,DreamWorks Animation,Kung Fu Panda 3,69.44117647058823
126,Peter Ramsey,256.0,97.0,52.0,161.0,Kamil McFadden,20000.0,103400692.0,Hugh Jackman,123553,20645,Khamani Griffin,174.0,English,USA,PG,145000000.0,315.0,7.3,1.85,25000,11/21/2012,Paramount Studios,Rise of the Guardians,62.029411764705884
127,Dean Parisot,135.0,90.0,23.0,233.0,Richard Burgi,957.0,110332737.0,John Michael Higgins,110788,1997,David Herman,258.0,English,USA,PG-13,100000000.0,550.0,6.1,2.35,2000,07/01/2003,Sony Pictures Entertainment,Fun with Dick and Jane,52.21212121212121
128,Edward Zwick,190.0,154.0,380.0,445.0,Tony Goldwyn,10000.0,111110575.0,Tom Cruise,317166,11945,Chad Lindberg,928.0,English,USA,R,140000000.0,956.0,7.7,2.35,0,12/05/2003,Warner Bros. Pictures,The Last Samurai,60.465116279069775
129,Ridley Scott,314.0,150.0,0.0,748.0,María Valverde,23000.0,65007045.0,Christian Bale,128682,26490,Ben Mendelsohn,657.0,English,UK,PG-13,140000000.0,893.0,6.1,2.35,51000,12/12/2014,20th Century Fox,Exodus: Gods and Kings,54.27906976744186
130,J.J. Abrams,518.0,127.0,14000.0,981.0,Leonard Nimoy,26000.0,257704099.0,Chris Hemsworth,504419,39284,Bruce Greenwood,1559.0,English,USA,PG-13,150000000.0,12000.0,8.0,2.35,19000,05/07/2009,IMAX,Star Trek,82.52173913043478
131,Sam Raimi,291.0,121.0,0.0,4000.0,James Franco,24000.0,403706375.0,J.K. Simmons,544665,40484,Kirsten Dunst,2012.0,English,USA,PG-13,139000000.0,11000.0,7.3,1.85,5000,05/03/2002,Columbia Pictures,Spider-Man,74.8157894736842
132,Dean DeBlois,292.0,102.0,255.0,953.0,Djimon Hounsou,18000.0,176997107.0,Gerard Butler,221128,23378,America Ferrera,343.0,English,USA,PG,145000000.0,3000.0,7.9,2.35,46000,06/13/2014,20th Century Fox,How to Train Your Dragon 2,76.25641025641026
133,Rob Cohen,145.0,121.0,357.0,653.0,Joe Morton,820.0,31704416.0,Sam Shepard,45455,2705,Richard Roxburgh,388.0,English,USA,PG-13,135000000.0,780.0,5.0,2.35,0,07/29/2005,Columbia Pictures,Stealth,40.774193548387096
134,Zack Snyder,451.0,215.0,0.0,413.0,Billy Crudup,986.0,107503316.0,Matt Frewer,392474,2530,Stephen McHattie,1229.0,English,USA,R,130000000.0,745.0,7.7,2.35,18000,03/06/2009,Warner Bros. Pictures,Watchmen,60.56410256410256
135,Richard Donner,141.0,127.0,503.0,91.0,Rene Russo,5000.0,129734803.0,Jet Li,127497,6171,Darlene Love,287.0,English,USA,R,140000000.0,808.0,6.6,2.35,0,07/10/1998,Warner Home Video,Lethal Weapon 4,46.57142857142857
136,Ang Lee,267.0,138.0,0.0,258.0,Regi Davis,820.0,132122995.0,Kevin Rankin,212106,1814,Celia Weston,1445.0,English,USA,PG-13,137000000.0,300.0,5.7,1.85,0,06/20/2003,Universal Pictures,Hulk,59.45
137,Breck Eisner,163.0,124.0,42.0,848.0,Rainn Wilson,11000.0,68642452.0,Matthew McConaughey,77673,13073,Delroy Lindo,463.0,English,UK,PG-13,130000000.0,973.0,6.0,2.35,0,04/08/2005,Paramount Pictures,Sahara,47.21212121212121
138,Hironobu Sakaguchi,166.0,106.0,6.0,422.0,Ming-Na Wen,12000.0,32131830.0,Steve Buscemi,72259,15015,Jean Simmons,788.0,English,USA,PG-13,137000000.0,2000.0,6.4,1.85,0,07/11/2001,Columbia Pictures,Final Fantasy: The Spirits Within,54.10714285714285
139,Joe Johnston,510.0,124.0,394.0,2000.0,Dominic Cooper,11000.0,176636816.0,Chris Evans,508818,19761,Hayley Atwell,679.0,English,USA,PG-13,140000000.0,3000.0,6.9,2.35,46000,07/22/2011,Paramount Pictures,Captain America: The First Avenger,68.81395348837209
140,Michael Apted,197.0,128.0,150.0,244.0,Maria Grazia Cucinotta,766.0,126930660.0,Colin Salmon,157519,2037,Desmond Llewelyn,683.0,English,UK,PG-13,135000000.0,536.0,6.4,2.35,2000,11/19/1999,United Artists,The World Is Not Enough,61.026315789473685
141,Peter Weir,244.0,138.0,608.0,168.0,Lee Ingleby,613.0,93926386.0,James D'Arcy,168207,1205,David Threlfall,684.0,English,USA,PG-13,150000000.0,172.0,7.4,2.35,0,11/14/2003,20th Century Fox,Master and Commander: The Far Side of the World,80.92857142857143
142,Louis Leterrier,354.0,135.0,255.0,882.0,Peter Mensah,3000.0,134518390.0,Ty Burrell,326286,5811,William Hurt,643.0,English,USA,PG-13,150000000.0,1000.0,6.8,2.35,0,06/12/2008,Universal Pictures,The Incredible Hulk,63.89473684210525
143,Steven Spielberg,252.0,117.0,14000.0,358.0,Penelope Wilton,535.0,52792307.0,Mark Rylance,12572,1950,Rafe Spall,106.0,English,UK,PG,140000000.0,400.0,6.8,2.35,27000,07/01/2016,Walt Disney Pictures,The BFG,67.97872340425532
144,Alejandro G. Iñárritu,556.0,156.0,0.0,733.0,Tom Hardy,29000.0,183635922.0,Leonardo DiCaprio,406020,57108,Lukas Haas,1188.0,English,USA,R,135000000.0,27000.0,8.1,2.35,190000,12/25/2015,20th Century Fox,The Revenant,75.19354838709677
145,David Soren,166.0,96.0,13.0,463.0,Snoop Dogg,16000.0,83024900.0,Ryan Reynolds,62424,17416,Ben Schwartz,90.0,English,USA,PG,135000000.0,881.0,6.5,2.35,13000,07/17/2013,DreamWorks Animation,Turbo,60.73333333333333
146,Gore Verbinski,362.0,107.0,563.0,939.0,Ray Winstone,40000.0,123207194.0,Johnny Depp,183208,43291,Stephen Root,337.0,English,USA,PG,135000000.0,1000.0,7.2,2.35,26000,03/04/2011,Paramount Pictures,Rango,77.2
147,Paul Greengrass,329.0,115.0,521.0,883.0,Edgar Ramírez,13000.0,227137090.0,Matt Damon,491077,17369,Albert Finney,820.0,English,USA,PG-13,110000000.0,897.0,8.1,2.35,0,08/03/2007,Universal Pictures,The Bourne Ultimatum,85.44736842105263
148,Mark Osborne,266.0,92.0,54.0,562.0,Wayne Knight,11000.0,215395021.0,Angelina Jolie Pitt,307029,12754,Dan Fogler,360.0,English,USA,PG,130000000.0,967.0,7.6,2.35,6000,06/06/2008,Paramount Pictures,Kung Fu Panda,74.45454545454545
149,Peyton Reed,517.0,117.0,235.0,680.0,Hayley Atwell,2000.0,180191634.0,Judy Greer,313866,5730,T.I.,549.0,English,USA,PG-13,130000000.0,2000.0,7.4,1.85,61000,07/17/2015,Disney/Marvel,Ant-Man,66.52272727272727
150,Francis Lawrence,502.0,146.0,508.0,523.0,Josh Hutcherson,34000.0,424645577.0,Jennifer Lawrence,498397,49355,Sandra Ellis Lafferty,706.0,English,USA,PG-13,130000000.0,14000.0,7.6,2.35,82000,11/22/2013,Lionsgate Films,The Hunger Games: Catching Fire,76.20408163265307
151,Tim Johnson,165.0,94.0,12.0,183.0,Matt Jones,17000.0,177343675.0,Jim Parsons,70121,17883,April Winchell,214.0,English,USA,PG,135000000.0,523.0,6.7,1.85,26000,03/26/2015,DreamWorks Animation,Home,60.62790697674418
152,Steven Spielberg,401.0,116.0,14000.0,807.0,Lisa Ann Walter,10000.0,234277056.0,Tom Cruise,334345,12758,Rick Gonzalez,2741.0,English,USA,PG-13,132000000.0,1000.0,6.5,1.85,0,06/29/2005,Paramount Pictures,War of the Worlds,73.925
153,Michael Bay,94.0,147.0,0.0,877.0,Henry Rollins,10000.0,138396624.0,Will Smith,178126,12954,Jordi Mollà,511.0,English,USA,R,130000000.0,898.0,6.6,2.35,0,07/18/2003,Sony Pictures Entertainment,Bad Boys II,44.67647058823529
154,Chris Miller,246.0,90.0,50.0,397.0,Constance Marie,4000.0,149234747.0,Salma Hayek,114287,5046,Amy Sedaris,137.0,English,USA,PG,130000000.0,442.0,6.7,2.35,16000,10/28/2011,Paramount/Dreamworks,Puss in Boots,67.33333333333333
155,Phillip Noyce,330.0,101.0,176.0,282.0,Andre Braugher,11000.0,118311368.0,Angelina Jolie Pitt,245621,12406,August Diehl,514.0,English,USA,PG-13,110000000.0,702.0,6.4,2.35,23000,07/23/2010,Sony Pictures,Salt,65.8809523809524
156,Darren Aronofsky,434.0,138.0,0.0,8000.0,Emma Watson,12000.0,101160529.0,Anthony Hopkins,200022,32355,Logan Lerman,1240.0,English,USA,PG-13,125000000.0,9000.0,5.8,1.85,71000,03/28/2014,Paramount Pictures,Noah,68.80434782608695
157,Steven Spielberg,440.0,107.0,14000.0,845.0,Mackenzie Crook,2000.0,77564037.0,Toby Jones,177383,4631,Tony Curran,447.0,English,USA,PG,135000000.0,871.0,7.4,2.35,44000,12/21/2011,Paramount,The Adventures of Tintin,71.4
158,Alfonso Cuarón,274.0,142.0,0.0,10000.0,Gary Oldman,11000.0,249358727.0,Daniel Radcliffe,382255,33284,Rupert Grint,1504.0,English,UK,PG,130000000.0,10000.0,7.8,2.35,11000,06/04/2004,Warner Bros. Pictures,Harry Potter and the Prisoner of Azkaban,80.8
159,Baz Luhrmann,245.0,165.0,1000.0,165.0,Bryan Brown,309.0,49551662.0,Essie Davis,102338,921,Eddie Baroo,450.0,English,Australia,PG-13,130000000.0,284.0,6.6,2.35,0,11/26/2008,20th Century Fox,Australia,56.89473684210525
160,M. Night Shyamalan,349.0,100.0,0.0,894.0,Zoë Kravitz,10000.0,60522097.0,Will Smith,158720,14168,Glenn Morshower,744.0,English,USA,PG-13,130000000.0,943.0,4.9,2.35,37000,05/31/2013,Sony Pictures,After Earth,38.487804878048784
161,Eric Leighton,145.0,82.0,0.0,388.0,D.B. Sweeney,1000.0,137748063.0,Alfre Woodard,38438,2945,Della Reese,241.0,English,USA,PG,127500000.0,558.0,6.5,1.85,0,05/19/2000,Buena Vista,Dinosaur,59.0
162,Shawn Levy,154.0,98.0,189.0,1000.0,Rami Malek,49000.0,113733726.0,Robin Williams,67223,53587,Steve Coogan,126.0,English,USA,PG,127000000.0,3000.0,6.2,1.85,11000,12/19/2014,20th Century Fox,Night at the Museum: Secret of the Tomb,50.87878787878788
163,Tom McGrath,233.0,95.0,96.0,8000.0,Brad Pitt,24000.0,148337537.0,J.K. Simmons,172754,46120,Will Ferrell,187.0,English,USA,PG,130000000.0,11000.0,7.3,2.35,13000,11/05/2010,Paramount Studios/DWA,Megamind,65.15151515151516
164,Chris Columbus,258.0,159.0,0.0,645.0,Fiona Shaw,11000.0,317557891.0,Daniel Radcliffe,444683,13191,Verne Troyer,1571.0,English,UK,PG,125000000.0,687.0,7.5,2.35,16000,11/16/2001,Warner Bros. Pictures,Harry Potter and the Sorcerer's Stone,68.22222222222223
165,Robert Schwentke,208.0,96.0,124.0,1000.0,Jeff Bridges,16000.0,33592415.0,Ryan Reynolds,91640,31549,Stephanie Szostak,210.0,English,USA,PG-13,130000000.0,12000.0,5.6,2.35,20000,07/19/2013,Universal Pictures,R.I.P.D.,30.222222222222218
166,Gore Verbinski,271.0,143.0,563.0,1000.0,Orlando Bloom,40000.0,305388685.0,Johnny Depp,809474,48184,Jack Davenport,2113.0,English,USA,PG-13,140000000.0,5000.0,8.1,2.35,10000,06/28/2003,Buena Vista Pictures,Pirates of the Caribbean: The Curse of the Black Pearl,65.825
167,Francis Lawrence,403.0,123.0,508.0,14000.0,Philip Seymour Hoffman,34000.0,337103873.0,Jennifer Lawrence,305008,81385,Josh Hutcherson,591.0,English,USA,PG-13,125000000.0,22000.0,6.7,2.35,52000,11/21/2014,Lionsgate Films,The Hunger Games: Mockingjay - Part 1,66.0
168,Ron Howard,294.0,174.0,2000.0,362.0,Seth Gabel,15000.0,217536138.0,Tom Hanks,314253,16008,Jürgen Prochnow,1966.0,English,USA,PG-13,125000000.0,574.0,6.6,2.35,0,05/19/2006,Sony Pictures,The Da Vinci Code,51.525
169,Carlos Saldanha,159.0,101.0,107.0,56.0,Rachel Crow,688.0,131536019.0,Miguel Ferrer,58498,1031,Jeffrey Garcia,99.0,English,USA,G,103000000.0,237.0,6.4,2.35,0,04/11/2014,20th Century Fox,Rio 2,52.38235294117647
170,Justin Lin,342.0,132.0,681.0,12000.0,Vin Diesel,23000.0,209805005.0,Paul Walker,284792,55345,Dwayne Johnson,366.0,English,USA,PG-13,125000000.0,14000.0,7.3,2.35,54000,04/29/2011,Universal Pictures,Fast Five,67.87804878048779
171,Louis Leterrier,344.0,106.0,255.0,850.0,Jason Flemyng,14000.0,163192114.0,Liam Neeson,229679,18003,Alexa Davalos,637.0,English,USA,PG-13,125000000.0,1000.0,5.8,2.35,15000,04/02/2010,Warner Bros.,Clash of the Titans,47.60869565217392
172,Paul Verhoeven,196.0,113.0,719.0,217.0,Rachel Ticotin,605.0,119412921.0,Ronny Cox,240241,1441,Marshall Bell,391.0,English,USA,R,65000000.0,308.0,7.5,1.85,0,08/03/2012,Sony Pictures,Total Recall,61.11764705882353
173,John McTiernan,85.0,102.0,323.0,241.0,Vladimir Kulich,845.0,32694788.0,Tony Curran,101411,1815,Clive Russell,546.0,English,USA,R,85000000.0,372.0,6.6,2.35,0,08/27/1999,Buena Vista Pictures,The 13th Warrior,47.66666666666666
174,Tony Gilroy,436.0,135.0,209.0,602.0,Scott Glenn,10000.0,113165635.0,Jeremy Renner,229823,12175,Stacy Keach,504.0,English,USA,PG-13,125000000.0,826.0,6.7,2.35,31000,08/10/2012,Universal Pictures,The Bourne Legacy,63.33333333333334
175,Joel Schumacher,183.0,125.0,541.0,409.0,Vivica A. Fox,920.0,107285004.0,Michael Gough,189855,2699,John Glover,1018.0,English,USA,PG-13,125000000.0,890.0,3.7,1.85,0,06/20/1997,Warner Home Video,Batman & Robin,34.42857142857143
176,Ron Howard,175.0,110.0,2000.0,636.0,T.J. Thyne,1000.0,260031035.0,Clint Howard,141414,4146,Molly Shannon,482.0,English,USA,PG,123000000.0,722.0,6.0,1.85,0,06/01/2067,Warner Home Video,How the Grinch Stole Christmas,53.17241379310346
177,Roland Emmerich,239.0,124.0,776.0,812.0,Dennis Quaid,15000.0,186739919.0,Jake Gyllenhaal,333248,20553,Sela Ward,1159.0,English,USA,PG-13,125000000.0,2000.0,6.4,2.35,19000,05/28/2004,20th Century Fox,The Day After Tomorrow,54.131578947368425
178,Wolfgang Petersen,231.0,130.0,249.0,461.0,Mary Elizabeth Mastrantonio,784.0,182618434.0,Karen Allen,133076,2684,Bob Gunton,779.0,English,USA,PG-13,140000000.0,638.0,6.4,2.35,0,06/30/2000,Warner Bros. Pictures,The Perfect Storm,63.33333333333334
179,Ang Lee,552.0,127.0,0.0,341.0,Rafe Spall,774.0,124976634.0,Suraj Sharma,440084,2121,Tabu,755.0,English,USA,PG,120000000.0,358.0,8.0,1.85,122000,11/21/2012,20th Century Fox,Life of Pi,80.02272727272727
180,Mark Steven Johnson,276.0,123.0,160.0,402.0,Matt Long,12000.0,115802596.0,Nicolas Cage,182661,14017,Peter Fonda,681.0,English,USA,PG-13,110000000.0,701.0,5.2,2.35,0,02/16/2007,Sony Pictures,Ghost Rider,40.45
181,Paul Greengrass,267.0,123.0,521.0,265.0,Riz Ahmed,13000.0,108521835.0,Matt Damon,40123,13752,Ato Essandoh,297.0,English,UK,PG-13,120000000.0,365.0,7.1,2.35,31000,07/29/2016,Universal,Jason Bourne,60.3
182,Ridley Scott,775.0,124.0,0.0,641.0,Charlize Theron,13000.0,126464904.0,Michael Fassbender,456260,24098,Sean Harris,2326.0,English,USA,R,130000000.0,9000.0,7.0,2.35,97000,06/08/2012,20th Century Fox,Prometheus,66.83720930232558
183,Rob Minkoff,71.0,77.0,50.0,537.0,Brad Garrett,886.0,64736114.0,Nathan Lane,36471,2682,Melanie Griffith,69.0,English,USA,PG,120000000.0,799.0,5.4,1.85,459,07/19/2002,Columbia Pictures,Stuart Little 2,67.0
184,Neill Blomkamp,476.0,109.0,662.0,1000.0,Sharlto Copley,13000.0,93050117.0,Matt Damon,338087,17689,Alice Braga,814.0,English,USA,R,115000000.0,2000.0,6.6,2.35,61000,08/08/2013,TriStar Pictures,Elysium,63.85106382978724
185,David Twohy,207.0,134.0,123.0,567.0,Alexa Davalos,14000.0,57637485.0,Vin Diesel,183909,17159,Christina Cox,666.0,English,USA,PG-13,105000000.0,850.0,6.7,2.35,0,06/11/2004,Universal Pictures,The Chronicles of Riddick,43.647058823529406
186,José Padilha,492.0,117.0,294.0,1000.0,Abbie Cornish,10000.0,58607007.0,Gary Oldman,182899,14161,Jennifer Ehle,630.0,English,USA,PG-13,100000000.0,2000.0,6.2,2.35,60000,02/12/2014,Sony Pictures Releasing,RoboCop,59.877192982456144
187,James L. Brooks,168.0,121.0,274.0,157.0,Domenick Lombardozzi,273.0,30212620.0,Shelley Conn,35066,993,Teyonah Parris,196.0,English,USA,PG-13,120000000.0,216.0,5.3,1.85,0,12/17/2010,Columbia Pictures,How Do You Know,51.55263157894736
188,Joseph Kosinski,539.0,124.0,364.0,1000.0,Tom Cruise,11000.0,89021735.0,Morgan Freeman,387436,22004,Zoë Bell,892.0,English,USA,PG-13,120000000.0,10000.0,7.0,2.35,71000,04/19/2013,Universal Pictures,Oblivion,57.17073170731707
189,George Lucas,359.0,140.0,0.0,4000.0,Christopher Lee,20000.0,380262555.0,Natalie Portman,520104,44042,Hayden Christensen,3286.0,English,USA,PG-13,113000000.0,16000.0,7.6,2.35,10000,05/19/2005,20th Century Fox,Star Wars: Episode III - Revenge of the Sith,71.4
190,George Lucas,284.0,142.0,0.0,4000.0,Christopher Lee,20000.0,310675583.0,Natalie Portman,464310,42990,Hayden Christensen,3516.0,English,USA,PG,115000000.0,16000.0,6.7,1.78,0,05/16/2002,20th Century Fox,Star Wars: Episode II - Attack of the Clones,60.282051282051285
191,Pete Docter,250.0,92.0,0.0,773.0,John Ratzenberger,12000.0,289907418.0,Steve Buscemi,585659,15013,James Coburn,593.0,English,USA,G,115000000.0,1000.0,8.1,1.85,0,11/02/2001,Buena Vista Distribution Compa,"Monsters, Inc.",79.17647058823529
